Placa|año_fiscal,monto pagado,concepto_lc|año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc,,,,,,,,,,,,,,,,
G78BEA|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YSS|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00UCF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2010,1127,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00YDD|2019,1625,38|2018,1912,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052IX|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189NJ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
K23AHB|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039RI|2020,497,38|2020,1689,38|2019,1625,38|2018,454,38|2018,1545,38|2017,1465,38|2017,1465,38|2016,1408,38|2015,1366,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,
052TK|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,39|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
D69APM|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,39|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00HCH|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F27AVB|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00UMY|2017,1465,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F92AOH|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G78AUY|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
E92AWZ|2020,1689,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
