Placa|año_fiscal,monto pagado,concepto_lc|año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc,,,,,,,,,,,,,,,,
A10WFE|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
346DE|2020,1689,38|2019,478,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00WKC|2020,1689,38|2019,478,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
G78AJC|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189WC|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YHQ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WVM|2020,1689,38|2020,1189,38|2019,1987,38|2015,1366,38|2014,1314,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00TTH|2016,1408,38|2015,1366,38|2014,1672,38|2013,1764,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ZNV|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB784|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000PP|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189DX|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
E92AMR|2020,1689,38|2019,1625,38|2018,1912,38|2017,1465,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ZZE|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45ANJ|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ601|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
052MH|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00SQQ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00VQG|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K23BFF|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ISH|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25BHF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,39|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
459QV|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC507|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2009,1624,38|2008,1587,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052IW|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
AC817|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00XCN|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
235XG|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
F27BIE|2019,1625,38|2018,1545,38|2017,1465,39|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
080QQ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00WBW|2019,1625,38|2018,1545,38|2017,1465,39|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00GPX|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459NN|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
K23AFF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
G78BCK|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ITW|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
AA465|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
F45ARO|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
235ID|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G78ACF|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00XFA|2020,1689,38|2019,891,38|2019,1625,38|2018,1912,38|2017,1912,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92AAZ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
080IH|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00HJW|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00VJI|2016,1408,38|2015,1366,38|2014,1706,38|2013,1769,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L90BDH|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30BIF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
E92AYC|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2012,1215,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
M23AKB|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2015,1366,38|2014,1314,38|2013,1266,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
C30AFP|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00AZR|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
G78BJV|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00AKP|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1794,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YYO|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,39|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
L90AYJ|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K23AOI|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
080PH|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
AA422|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2012,1215,38|2011,1173,38|2010,1127,38|0,1005,38|0,1005,38|,,,,,,,,,,,,,,,,
K23BFB|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
E92AFR|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
459YL|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2009,1638,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ADO|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
D69BBQ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K23AVP|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,39|2014,1314,38|2013,1266,77|2013,1266,77|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,
AC503|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G78AWS|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,39|2014,1314,38|2013,1266,77|2013,1266,77|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,
346JD|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000QD|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VVP|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VHK|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30BFC|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K23AYR|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00UZB|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
F45APG|2020,1689,38|2020,1189,38|2019,891,38|2019,1987,38|2018,454,38|2018,1912,38|2017,1465,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L90AVK|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F92ARS|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
M23AEX|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
C30BKY|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ICN|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC240|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45AEL|2014,1314,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30ANR|2020,1689,38|2019,1625,38|2018,1545,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1758,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
578EV|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080SC|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
L90AVE|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WLH|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00VGY|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346PW|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D69ABU|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00ZEJ|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F87AJZ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,
L90BJY|2020,1689,38|2019,1987,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A10WMD|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
B25AEL|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA388|2015,1366,38|2014,1314,38|2013,1266,38|2009,1624,38|2008,1587,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98AEY|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WMR|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
AC650|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
578UL|2020,1689,38|2019,1625,38|2015,1366,38|2014,1314,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98BKG|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WHH|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
K23APB|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2009,1610,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WQL|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459UF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,39|2014,1314,38|2013,1266,77|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,
F27AGZ|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052SC|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F27BJJ|2019,1625,38|2019,1625,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1794,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB406|2020,1689,38|2019,1987,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1672,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
F27AXQ|2020,1689,38|2019,1987,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578GP|2020,1689,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1784,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G66AXZ|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WQD|2020,1689,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC283|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00BIG|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F27AFI|2020,497,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
KJ429|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC446|2020,1689,38|2019,1625,38|2018,1545,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2010,1127,38|,,,,,,,,,,,,,,,,,,,,,,
459GK|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D69BLT|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|,,,,,,,,,,,,,,,,,,,,,,,,,,
189IF|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ423|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578TQ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA260|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB065|2020,1689,38|2020,1189,39|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
B25ABT|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
D69BIJ|2019,1625,38|2018,1912,38|2017,1912,38|2016,1408,38|2015,1366,39|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VHV|2016,1408,38|2015,1366,38|2014,1314,38|2013,1794,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98AWB|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92AVH|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25ATH|2020,1689,38|2019,891,37|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,
D69BDI|2019,1625,38|2018,1545,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98AQZ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YOD|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000KA|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30BAS|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189SM|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ZFM|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
578XA|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080FN|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000UX|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23ALZ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459XR|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235NE|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VSJ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D69BDU|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA235|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YSE|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00GTE|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WIS|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB503|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23ADK|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052JW|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA121|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080AW|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F92BFX|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00SYB|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459ST|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00XOT|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052QS|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WZK|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00IIY|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WZF|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45ADE|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00AHG|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346MQ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WCM|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00XLG|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ493|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346VG|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ZSC|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00BNQ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WBH|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00HOV|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00HPW|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000AS|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45BKL|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F92ALO|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YEJ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98AUB|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10XLP|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G66ATL|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
